start,end,downloads,package
2019-06-01,2019-06-30,702976,ggplot2
2019-07-01,2019-07-31,712857,ggplot2
2019-08-01,2019-08-31,719862,ggplot2
2019-09-01,2019-09-30,988740,ggplot2
2019-10-01,2019-10-31,1058606,ggplot2
2019-11-01,2019-11-30,958562,ggplot2
2019-12-01,2019-12-31,869022,ggplot2
2020-01-01,2020-01-31,990079,ggplot2
2020-02-01,2020-02-29,1021046,ggplot2
2020-03-01,2020-03-31,1678308,ggplot2
2020-04-01,2020-04-21,984891,ggplot2
